Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_047,0.86382,0.88182,0.90836,0.92535,0.83717,0.95984,0.99922,0.99907,0.99892,1.0,10.86278,4.0
BraTS20_Training_048,0.75907,0.57131,0.87655,0.66144,0.40754,0.83704,0.99998,0.99994,0.99997,1.41421,11.0,1.73205
BraTS20_Training_049,0.85353,0.9029,0.83233,0.94874,0.9046,0.94957,0.99981,0.99906,0.99972,2.44949,2.23607,19.59719
BraTS20_Training_050,0.86124,0.92305,0.95854,0.92979,0.96455,0.9656,0.99916,0.99883,0.99962,1.0,3.60555,1.41421
BraTS20_Training_051,0.8893,0.90055,0.94192,0.88951,0.98422,0.92247,0.99984,0.99722,0.99993,1.41421,3.0,1.41421
BraTS20_Training_052,0.83295,0.8644,0.91737,0.82344,0.98174,0.88393,0.99981,0.9985,0.99992,1.41421,3.60555,2.23607
BraTS20_Training_053,0.84298,0.94418,0.81102,0.86016,0.97029,0.76777,0.99982,0.99855,0.9997,1.41421,2.23607,11.53689
BraTS20_Training_054,0.9013,0.91768,0.934,0.93986,0.90173,0.96353,0.99949,0.99942,0.99958,1.41421,2.44949,2.0
BraTS20_Training_055,0.81817,0.91772,0.79652,0.95873,0.97633,0.9402,0.99963,0.99796,0.99928,5.38516,3.60555,12.32476
BraTS20_Training_056,0.81952,0.84213,0.86637,0.81101,0.80321,0.84788,0.99952,0.99935,0.99958,3.60555,4.12311,4.89898
BraTS20_Training_057,0.8595,0.91668,0.74983,0.91408,0.95419,0.93266,0.99979,0.99868,0.99927,1.41421,21.9545,49.73932
BraTS20_Training_058,0.57305,0.7249,0.71815,0.50462,0.58431,0.8285,0.99981,0.99971,0.99908,9.27362,10.0,22.2935
BraTS20_Training_059,0.71125,0.77635,0.3909,0.98464,0.74682,0.97395,0.9999,0.99948,0.9993,5.38516,7.0,18.38478
BraTS20_Training_060,0.8398,0.92242,0.95042,0.87151,0.95062,0.97356,0.99963,0.99891,0.99971,1.0,4.0,1.41421
BraTS20_Training_061,0.75534,0.81101,0.81723,0.89896,0.93682,0.94213,0.99965,0.99912,0.99945,2.23607,23.43075,30.31006
BraTS20_Training_062,0.87625,0.90513,0.95165,0.99522,0.99035,0.99611,0.99906,0.9968,0.99945,1.41421,3.31662,1.41421
BraTS20_Training_063,0.77182,0.84789,0.74584,0.73284,0.83268,0.81036,0.99996,0.9998,0.99988,2.0,3.0,4.58258
BraTS20_Training_064,0.77606,0.82511,0.91374,0.74407,0.88894,0.86819,0.99931,0.99712,0.99971,2.0,14.45683,4.0
BraTS20_Training_065,0.8718,0.73746,0.48045,0.95512,0.94142,0.95264,0.99992,0.99829,0.99913,1.0,9.84631,24.75884
BraTS20_Training_066,0.8154,0.89835,0.8772,0.84062,0.95509,0.9044,0.99978,0.99886,0.99973,1.41421,4.69042,5.0
BraTS20_Training_067,0.90156,0.94384,0.95453,0.96952,0.94382,0.96533,0.99937,0.99917,0.99971,1.41421,2.0,1.41421
BraTS20_Training_068,0.83308,0.91001,0.88351,0.90455,0.95975,0.89452,0.99958,0.99893,0.9995,1.41421,4.0,4.12311
BraTS20_Training_069,0.83234,0.83101,0.9134,0.9199,0.79827,0.9519,0.99949,0.99776,0.99948,1.0,5.09902,33.99411
BraTS20_Training_070,0.73658,0.89138,0.86568,0.85568,0.91069,0.9126,0.99933,0.99914,0.99922,1.73205,49.04539,54.62142
BraTS20_Training_071,0.82254,0.90135,0.39699,0.75316,0.98137,0.92927,0.99989,0.99655,0.99412,5.91608,10.04988,21.23676
